r,J_LSP,J_B,ratio_running
0.6966898906560218,0.0009086243273442815,1.9549979163007607e-13,4647699722.686031
0.7000233351041367,0.000917797794630707,1.9934370012057922e-13,4604097315.719275
0.7033567795522517,0.0009270239619258178,2.0326124550357892e-13,4560751163.504482
0.7066902240003666,0.0009363034885420362,2.072540431229452e-13,4517660907.520205
0.7100236684484816,0.0009456358650456623,2.1132334122443933e-13,4474829233.564571
0.7133571128965965,0.0009550212240786079,2.1547063000923903e-13,4432257073.911457
0.7166905573447114,0.0009644596988579034,2.1969742922537434e-13,4389945309.139336
0.7200240017928264,0.0009739514233253054,2.240052887599238e-13,4347894769.436142
0.7233574462409413,0.0009834965323345039,2.28395789244658e-13,4306106235.964711
0.7266908906890562,0.0009930952538396592,2.3287057744434655e-13,4264580200.463486
0.7300243351371712,0.0010027482971506645,2.37431517751791e-13,4223315870.805869
0.7333577795852861,0.0010124551341216307,2.420800411577775e-13,4182315606.3566403
0.736691224033401,0.0010222159022641676,2.468178578583832e-13,4141579993.983599
0.740024668481516,0.0010320307399198751,2.5164671201397057e-13,4101109574.0546784
0.7433581129296309,0.001041899786298044,2.56568382432257e-13,4060904841.1221986
0.7466915573777458,0.0010518231812088337,2.6158468326471194e-13,4020966243.441845
0.7500250018258608,0.0010618011364627667,2.6669749465822117e-13,3981294004.36809
0.7533584462739757,0.0010718344121434745,2.71908968745335e-13,3941886937.710154
0.7566918907220908,0.001081922460776005,2.772207459177146e-13,3902747094.898677
0.7600253351702057,0.001092065425122672,2.8263478928577835e-13,3863874747.62868
0.7633587796183205,0.0011022634488141528,2.881531010120208e-13,3825270125.301098
0.7666922240664356,0.0011125166759559906,2.9377772309677796e-13,3786933414.244956
0.7700256685145505,0.0011228252515942721,2.9951073817991533e-13,3748864759.9666157
0.7733591129626654,0.0011331893715572573,3.0535429385379437e-13,3711064145.3754563
0.7766925574107804,0.001143609846807491,3.1131087481835344e-13,3673530028.383284
0.7800260018588953,0.0011540861106687406,3.173823614191593e-13,3636264175.1995997
0.7833594463070102,0.0011646183111602769,3.235710075880874e-13,3599266571.6294956
0.7866928907551252,0.0011752065969018617,3.2987911216760875e-13,3562537164.5378666
0.7900263352032401,0.001185851117460591,3.3630901981472437e-13,3526075863.5432587
0.7933597796513551,0.0011965520230271664,3.4286312192377766e-13,3489882540.628483
0.79669322409947,0.0012073094931568254,3.495438725978255e-13,3453956964.497898
0.8000266685475849,0.001218124390444666,3.5635414104818867e-13,3418297278.268314
0.8033601129956999,0.001228996128680127,3.632960825980432e-13,3382904984.5272036
0.8066935574438148,0.001239924861172586,3.703722856541217e-13,3347779812.9056296
0.8100270018919297,0.0012509107418384137,3.775853902802509e-13,3312921458.401673
0.8133604463400447,0.0012619539255505211,3.8493808923794734e-13,3278329582.943535
0.8166938907881596,0.0012730545677907146,3.9243312905098807e-13,3244003815.043121
0.8200273352362745,0.0012842128316366264,4.000733151348058e-13,3209943735.4473577
0.8233607796843895,0.001295429632076155,4.078619614103317e-13,3176147213.132438
0.8266942241325044,0.0013067043630745423,4.1580153832832474e-13,3142615509.139228
0.8300276685806193,0.0013180371831126173,4.2389501904679643e-13,3109348126.044177
0.8333611130287343,0.001329428251694629,4.32145436151454e-13,3076344537.0014377
0.8366945574768492,0.0013408777288118792,4.4055588285447496e-13,3043604185.0672545
0.8400280019249642,0.0013523857755278112,4.491295142205061e-13,3011126485.140853
0.8433614463730791,0.0013639525535986319,4.578695484159235e-13,2978910823.655896
0.846694890821194,0.0013755789854071527,4.667797836924849e-13,2946954931.3502097
0.850028335269309,0.0013872644900349146,4.758630818064251e-13,2915259752.382379
0.8533617797174239,0.001399009216512476,4.851228485289281e-13,2883824624.535392
0.8566952241655388,0.0014108133297608932,4.945625680584338e-13,2852648827.224227
0.8600286686136538,0.0014226769951150005,5.04185794354258e-13,2821731613.714169
0.8633621130617687,0.001434600379183943,5.139961525473582e-13,2791072213.428218
0.8666955575098836,0.0014465836490835642,5.239973403797312e-13,2760669830.9484773
0.8700290019579986,0.001458627714343094,5.341936976702043e-13,2730522132.1491675
0.8733624464061135,0.0014707320402460645,5.445885538904997e-13,2700629731.8209596
0.8766958908542285,0.0014828967589863378,5.551858062555432e-13,2670991841.430082
0.8800293353023434,0.0014951220409424142,5.659894586504821e-13,2641607574.2953076
0.8833627797504583,0.0015074080572888707,5.770035952421117e-13,2612476022.192478
0.8866962241985733,0.0015197549800074963,5.882323821063482e-13,2583596255.897275
0.8900296686466882,0.0015320551708317399,5.995799641500767e-13,2555214087.2543592
